LoanRange, LoanAmount , BusinessName ,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
"h $25,000-$50,000"," $32,900 ", undisclosed , undisclosed ,RED LODGE,MT,59068,722511,Corporation,White,Male Owned,Unanswered,,10,4/8/20,Farmers & Merchants Savings Bank,MT - 00
"h $25,000-$50,000"," $32,000 ", undisclosed , undisclosed ,RED LODGE,MT,59068,541211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,4/13/20,"Bank of Bridger, National Association",MT - 00
"h $25,000-$50,000"," $31,700 ", undisclosed , undisclosed ,RED LODGE,MT,59068,326199,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,5,4/11/20,"Bank of Bridger, National Association",MT - 00
"h $25,000-$50,000"," $29,778 ", undisclosed , undisclosed ,RED LODGE,MT,59068,621210,Corporation,Unanswered,Unanswered,Unanswered,,1,4/28/20,First Interstate Bank,MT - 00
"h $25,000-$50,000"," $29,400 ", undisclosed , undisclosed ,RED LODGE,MT,59068,722513,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,4,4/3/20,Altana FCU,MT - 00
"h $25,000-$50,000"," $29,213 ", undisclosed , undisclosed ,RED LODGE,MT,59068,722511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,4,4/8/20,First Interstate Bank,MT - 00
"h $25,000-$50,000"," $29,146 ", undisclosed , undisclosed ,RED LODGE,MT,59068,541940,Corporation,Unanswered,Unanswered,Unanswered,,5,4/6/20,Stearns Bank National Association,MT - 00
"h $25,000-$50,000"," $27,800 ", undisclosed , undisclosed ,RED LODGE,MT,59068,561730,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,10,4/13/20,"Bank of Bridger, National Association",MT - 00
"h $25,000-$50,000"," $27,700 ", undisclosed , undisclosed ,RED LODGE,MT,59068,721110,Subchapter S Corporation,White,Male Owned,Unanswered,,7,4/15/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $27,100 ", undisclosed , undisclosed ,RED LODGE,MT,59068,722511,Corporation,Unanswered,Unanswered,Unanswered,,11,4/9/20,"Bank of Bridger, National Association",MT - 00
"h $25,000-$50,000"," $26,700 ", undisclosed , undisclosed ,RED LODGE,MT,59068,531210,Corporation,Unanswered,Unanswered,Unanswered,,3,4/15/20,"Bank of Bridger, National Association",MT - 00
"h $25,000-$50,000"," $26,500 ", undisclosed , undisclosed ,RED LODGE,MT,59068,713210,Corporation,Unanswered,Female Owned,Non-Veteran,,9,4/27/20,"Bank of Bridger, National Association",MT - 00
"h $25,000-$50,000"," $26,495 ", undisclosed , undisclosed ,RED LODGE,MT,59068,236210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,4/28/20,First Interstate Bank,MT - 00
"h $25,000-$50,000"," $26,300 ", undisclosed , undisclosed ,RED LODGE,MT,59068,722511,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,,7,4/13/20,"Bank of Bridger, National Association",MT - 00
"h $25,000-$50,000"," $26,000 ", undisclosed , undisclosed ,RED LODGE,MT,59068,621210,Subchapter S Corporation,White,Female Owned,Non-Veteran,,1,4/13/20,The Yellowstone Bank,MT - 00
"h $25,000-$50,000"," $25,735 ", undisclosed , undisclosed ,RED LODGE,MT,59068,445299,Corporation,Unanswered,Unanswered,Unanswered,,5,4/8/20,First Interstate Bank,MT - 00
"h $25,000-$50,000"," $25,400 ", undisclosed , undisclosed ,RED LODGE,MT,59068,813920,Corporation,White,Male Owned,Non-Veteran,,2,4/13/20,"Bank of Bridger, National Association",MT - 00
"h $25,000-$50,000"," $25,700 ", undisclosed , undisclosed ,REED POINT,MT,59069,112111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,4/8/20,Rocky Mountain Bank,MT - 00
"h $25,000-$50,000"," $28,500 ", undisclosed , undisclosed ,RESERVE,MT,59258,447190,Partnership,Unanswered,Unanswered,Unanswered,,2,4/14/20,"Bank of Bridger, National Association",MT - 00
"h $25,000-$50,000"," $38,400 ", undisclosed , undisclosed ,REXFORD,MT,59930,721211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,4/6/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $43,600 ", undisclosed , undisclosed ,RICHEY,MT,59259,444130,Corporation,White,Unanswered,Unanswered,,8,4/6/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $44,000 ", undisclosed , undisclosed ,ROBERTS,MT,59070,531120,Limited Liability Partnership,Unanswered,Male Owned,Unanswered,,6,4/3/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $33,800 ", undisclosed , undisclosed ,ROBERTS,MT,59070,561730,Corporation,White,Male Owned,Non-Veteran,,6,4/3/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $32,500 ", undisclosed , undisclosed ,ROBERTS,MT,59070,623312,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,5,4/13/20,Paragon Bank,MT - 00
"h $25,000-$50,000"," $30,651 ", undisclosed , undisclosed ,ROBERTS,MT,59070,238110,Corporation,Unanswered,Unanswered,Unanswered,,4,4/7/20,First Interstate Bank,MT - 00
"h $25,000-$50,000"," $48,700 ", undisclosed , undisclosed ,RONAN,MT,59864,722511,Corporation,White,Unanswered,Non-Veteran,,11,4/4/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $48,200 ", undisclosed , undisclosed ,RONAN,MT,59864,446110,Limited  Liability Company(LLC),American Indian or Alaska Native,Female Owned,Non-Veteran,,7,4/6/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $47,200 ", undisclosed , undisclosed ,RONAN,MT,59864,333415,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,4/4/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $40,900 ", undisclosed , undisclosed ,RONAN,MT,59864,722513,Limited  Liability Company(LLC),White,Female Owned,Unanswered,,9,4/6/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $40,200 ", undisclosed , undisclosed ,RONAN,MT,59864,238310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,5/27/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $38,900 ", undisclosed , undisclosed ,RONAN,MT,59864,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,4/14/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $38,700 ", undisclosed , undisclosed ,RONAN,MT,59864,339999,Corporation,Unanswered,Unanswered,Unanswered,,8,4/28/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $38,200 ", undisclosed , undisclosed ,RONAN,MT,59864,332994,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/8/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $37,300 ", undisclosed , undisclosed ,RONAN,MT,59864,111211,Corporation,Unanswered,Male Owned,Unanswered,,3,4/27/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $37,300 ", undisclosed , undisclosed ,RONAN,MT,59864,425120,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,2,4/7/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $36,841 ", undisclosed , undisclosed ,RONAN,MT,59864,624229,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,4/15/20,Rural Community Assistance Corporation,MT - 00
"h $25,000-$50,000"," $36,100 ", undisclosed , undisclosed ,RONAN,MT,59864,111211,Corporation,White,Male Owned,Unanswered,,20,4/15/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $33,900 ", undisclosed , undisclosed ,RONAN,MT,59864,511110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,7,4/9/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $33,300 ", undisclosed , undisclosed ,RONAN,MT,59864,713910,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,5,4/4/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $31,700 ", undisclosed , undisclosed ,RONAN,MT,59864,541618,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,4/14/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $31,700 ", undisclosed , undisclosed ,RONAN,MT,59864,541110,Corporation,Unanswered,Unanswered,Unanswered,,0,4/7/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $31,200 ", undisclosed , undisclosed ,RONAN,MT,59864,811111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,4/8/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $31,000 ", undisclosed , undisclosed ,RONAN,MT,59864,238220,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,4,4/8/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $30,700 ", undisclosed , undisclosed ,RONAN,MT,59864,441310,Corporation,White,Male Owned,Non-Veteran,,6,4/4/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $28,200 ", undisclosed , undisclosed ,RONAN,MT,59864,541990,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,3,4/15/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $27,200 ", undisclosed , undisclosed ,RONAN,MT,59864,115116,Corporation,White,Male Owned,Non-Veteran,,4,4/3/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $26,200 ", undisclosed , undisclosed ,RONAN,MT,59864,524210,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,3,4/8/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $25,300 ", undisclosed , undisclosed ,RONAN,MT,59864,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/6/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $48,900 ", undisclosed , undisclosed ,ROUNDUP,MT,59072,722410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,4/27/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $48,322 ", undisclosed , undisclosed ,ROUNDUP,MT,59072,524210,Corporation,Unanswered,Unanswered,Unanswered,,6,4/8/20,First Security Bank of Roundup,MT - 00
"h $25,000-$50,000"," $47,800 ", undisclosed , undisclosed ,ROUNDUP,MT,59072,623312,Corporation,Unanswered,Unanswered,Unanswered,,12,4/10/20,First Security Bank of Roundup,MT - 00
"h $25,000-$50,000"," $42,500 ", undisclosed , undisclosed ,ROUNDUP,MT,59072,238210,Partnership,Unanswered,Unanswered,Unanswered,,5,4/15/20,First Interstate Bank,MT - 00
"h $25,000-$50,000"," $39,542 ", undisclosed , undisclosed ,ROUNDUP,MT,59072,441320,Corporation,Unanswered,Unanswered,Unanswered,,7,4/6/20,First Security Bank of Roundup,MT - 00
"h $25,000-$50,000"," $34,700 ", undisclosed , undisclosed ,ROUNDUP,MT,59072,561790,Corporation,Unanswered,Unanswered,Unanswered,,5,4/27/20,First Security Bank of Roundup,MT - 00
"h $25,000-$50,000"," $32,975 ", undisclosed , undisclosed ,ROUNDUP,MT,59072,541211,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,4/8/20,First Security Bank of Roundup,MT - 00
"h $25,000-$50,000"," $32,800 ", undisclosed , undisclosed ,ROUNDUP,MT,59072,112111,Corporation,Unanswered,Unanswered,Unanswered,,5,4/6/20,First Security Bank of Roundup,MT - 00
"h $25,000-$50,000"," $32,600 ", undisclosed , undisclosed ,ROUNDUP,MT,59072,722511,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,17,4/6/20,First Security Bank of Roundup,MT - 00
"h $25,000-$50,000"," $31,200 ", undisclosed , undisclosed ,ROUNDUP,MT,59072,236115,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,3,4/6/20,First Security Bank of Roundup,MT - 00
"h $25,000-$50,000"," $25,792 ", undisclosed , undisclosed ,ROUNDUP,MT,59072,112111,Partnership,Unanswered,Unanswered,Unanswered,,4,4/10/20,First Security Bank of Roundup,MT - 00
"h $25,000-$50,000"," $25,550 ", undisclosed , undisclosed ,ROUNDUP,MT,59072,488991,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,4/10/20,First Security Bank of Roundup,MT - 00
"h $25,000-$50,000"," $25,095 ", undisclosed , undisclosed ,ROUNDUP,MT,59072,531130,Corporation,Unanswered,Unanswered,Unanswered,,14,4/8/20,First Security Bank of Roundup,MT - 00
"h $25,000-$50,000"," $27,600 ", undisclosed , undisclosed ,ROY,MT,59471,447190,Corporation,White,Male Owned,Veteran,,8,4/13/20,Bank of the Rockies,MT - 00
"h $25,000-$50,000"," $40,800 ", undisclosed , undisclosed ,RUDYARD,MT,59540,115112,Subchapter S Corporation,White,Female Owned,Non-Veteran,,5,4/8/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $38,600 ", undisclosed , undisclosed ,RUDYARD,MT,59540,441320,Self-Employed Individuals,White,Male Owned,Non-Veteran,,5,4/3/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $29,932 ", undisclosed , undisclosed ,RUDYARD,MT,59540,423930,Corporation,Unanswered,Unanswered,Unanswered,,3,5/15/20,Intuit Financing Inc.,MT - 00
"h $25,000-$50,000"," $29,035 ", undisclosed , undisclosed ,RYEGATE,MT,59074,112111,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,6,5/3/20,"U.S. Bank, National Association",MT - 00
"h $25,000-$50,000"," $37,625 ", undisclosed , undisclosed ,SACO,MT,59261,424910,Corporation,Unanswered,Male Owned,Unanswered,,4,4/27/20,First Community Bank,MT - 00
"h $25,000-$50,000"," $33,665 ", undisclosed , undisclosed ,SACO,MT,59261,112111,Corporation,Unanswered,Unanswered,Unanswered,,4,5/12/20,First Interstate Bank,MT - 00
"h $25,000-$50,000"," $25,311 ", undisclosed , undisclosed ,SACO,MT,59261,424910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,4/27/20,First Community Bank,MT - 00
"h $25,000-$50,000"," $46,100 ", undisclosed , undisclosed ,SAINT IGNATIUS,MT,59865,447110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,4/4/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $39,500 ", undisclosed , undisclosed ,SAINT IGNATIUS,MT,59865,722511,Corporation,White,Female Owned,Non-Veteran,,0,4/11/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $33,200 ", undisclosed , undisclosed ,SAINT IGNATIUS,MT,59865,623312,Limited  Liability Company(LLC),Hispanic,Female Owned,Non-Veteran,,5,4/7/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $29,400 ", undisclosed , undisclosed ,SAINT IGNATIUS,MT,59865,236220,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,5,4/27/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $28,750 ", undisclosed , undisclosed ,SAINT IGNATIUS,MT,59865,339930,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,4/29/20,Clearwater FCU,MT - 00
"h $25,000-$50,000"," $25,300 ", undisclosed , undisclosed ,SAINT IGNATIUS,MT,59865,812990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,4/10/20,Valley Bank of Ronan,MT - 00
"h $25,000-$50,000"," $47,300 ", undisclosed , undisclosed ,SAINT REGIS,MT,59866,621111,Subchapter S Corporation,White,Male Owned,Non-Veteran,,5,4/28/20,TrailWest Bank,MT - 00
"h $25,000-$50,000"," $32,067 ", undisclosed , undisclosed ,SAINT REGIS,MT,59866,236115,Corporation,Unanswered,Male Owned,Non-Veteran,,5,4/10/20,TrailWest Bank,MT - 00
"h $25,000-$50,000"," $28,900 ", undisclosed , undisclosed ,SAINT REGIS,MT,59866,423910,Corporation,Unanswered,Unanswered,Non-Veteran,,7,4/28/20,TrailWest Bank,MT - 00
"h $25,000-$50,000"," $28,750 ", undisclosed , undisclosed ,SAINT REGIS,MT,59866,339114,Corporation,White,Male Owned,Non-Veteran,,4,4/7/20,TrailWest Bank,MT - 00
"h $25,000-$50,000"," $45,366 ", undisclosed , undisclosed ,SAINT XAVIER,MT,59075,712120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/29/20,"Wells Fargo Bank, National Association",MT - 00
"h $25,000-$50,000"," $32,172 ", undisclosed , undisclosed ,SAVAGE,MT,59262,623312,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,11,4/27/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $30,675 ", undisclosed , undisclosed ,SAVAGE,MT,59262,562998,Corporation,White,Male Owned,Non-Veteran,,3,4/30/20,Merchants Bank,MT - 00
"h $25,000-$50,000"," $29,490 ", undisclosed , undisclosed ,SAVAGE,MT,59262,541618,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,4/16/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $48,920 ", undisclosed , undisclosed ,SCOBEY,MT,59263,111140,Partnership,Unanswered,Female Owned,Non-Veteran,,3,4/15/20,Independence Bank,MT - 00
"h $25,000-$50,000"," $46,607 ", undisclosed , undisclosed ,SCOBEY,MT,59263,447110,Partnership,Unanswered,Female Owned,Non-Veteran,,3,4/15/20,Independence Bank,MT - 00
"h $25,000-$50,000"," $45,125 ", undisclosed , undisclosed ,SCOBEY,MT,59263,541219,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,4,4/15/20,Independence Bank,MT - 00
"h $25,000-$50,000"," $44,267 ", undisclosed , undisclosed ,SCOBEY,MT,59263,621310,Corporation,White,Unanswered,Unanswered,,4,4/14/20,Daniels-Sheridan FCU,MT - 00
"h $25,000-$50,000"," $33,718 ", undisclosed , undisclosed ,SCOBEY,MT,59263,811121,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,4/10/20,Independence Bank,MT - 00
"h $25,000-$50,000"," $31,350 ", undisclosed , undisclosed ,SCOBEY,MT,59263,112111,Corporation,Unanswered,Unanswered,Unanswered,,3,4/15/20,Independence Bank,MT - 00
"h $25,000-$50,000"," $30,632 ", undisclosed , undisclosed ,SCOBEY,MT,59263,111110,Corporation,Unanswered,Unanswered,Unanswered,,5,4/29/20,Independence Bank,MT - 00
"h $25,000-$50,000"," $26,370 ", undisclosed , undisclosed ,SCOBEY,MT,59263,713910,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,3,4/14/20,Independence Bank,MT - 00
"h $25,000-$50,000"," $26,058 ", undisclosed , undisclosed ,SCOBEY,MT,59263,424430,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,4/13/20,Independence Bank,MT - 00
"h $25,000-$50,000"," $25,635 ", undisclosed , undisclosed ,SCOBEY,MT,59263,722511,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,3,4/15/20,Independence Bank,MT - 00
"h $25,000-$50,000"," $25,030 ", undisclosed , undisclosed ,SCOBEY,MT,59263,515112,Corporation,Unanswered,Unanswered,Unanswered,,4,4/14/20,Independence Bank,MT - 00
"h $25,000-$50,000"," $49,200 ", undisclosed , undisclosed ,SEELEY LAKE,MT,59868,621340,Subchapter S Corporation,White,Unanswered,Unanswered,,5,4/4/20,Citizens Alliance Bank,MT - 00
"h $25,000-$50,000"," $47,485 ", undisclosed , undisclosed ,SEELEY LAKE,MT,59868,113310,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,2,4/11/20,First Interstate Bank,MT - 00
"h $25,000-$50,000"," $42,827 ", undisclosed , undisclosed ,SEELEY LAKE,MT,59868,711219,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,5/1/20,"JPMorgan Chase Bank, National Association",MT - 00
"h $25,000-$50,000"," $32,400 ", undisclosed , undisclosed ,SEELEY LAKE,MT,59868,488410,Corporation,White,Female Owned,Non-Veteran,,7,4/8/20,TrailWest Bank,MT - 00
"h $25,000-$50,000"," $31,500 ", undisclosed , undisclosed ,SEELEY LAKE,MT,59868,237990,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,6,4/6/20,Citizens Alliance Bank,MT - 00
"h $25,000-$50,000"," $28,300 ", undisclosed , undisclosed ,SEELEY LAKE,MT,59868,721110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,6,4/29/20,First Interstate Bank,MT - 00
"h $25,000-$50,000"," $26,800 ", undisclosed , undisclosed ,SEELEY LAKE,MT,59868,238190,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,4,4/15/20,Glenwood State Bank Incorporated,MT - 00
"h $25,000-$50,000"," $25,200 ", undisclosed , undisclosed ,SEELEY LAKE,MT,59868,811310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,4/8/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $25,000 ", undisclosed , undisclosed ,SEELEY LAKE,MT,59868,446110,Corporation,White,Female Owned,Non-Veteran,,3,4/8/20,TrailWest Bank,MT - 00
"h $25,000-$50,000"," $48,420 ", undisclosed , undisclosed ,SHELBY,MT,59474,812210,Corporation,White,Male Owned,Unanswered,,11,4/6/20,The First State Bank of Shelby,MT - 00
"h $25,000-$50,000"," $44,841 ", undisclosed , undisclosed ,SHELBY,MT,59474,211130,Corporation,Hispanic,Female Owned,Non-Veteran,,3,4/27/20,The First State Bank of Shelby,MT - 00
"h $25,000-$50,000"," $43,155 ", undisclosed , undisclosed ,SHELBY,MT,59474,621310,Corporation,White,Male Owned,Unanswered,,9,4/6/20,The First State Bank of Shelby,MT - 00
"h $25,000-$50,000"," $42,665 ", undisclosed , undisclosed ,SHELBY,MT,59474,713910,Non-Profit Organization,White,Male Owned,Unanswered,Y,7,4/10/20,The First State Bank of Shelby,MT - 00
"h $25,000-$50,000"," $37,400 ", undisclosed , undisclosed ,SHELBY,MT,59474,713910,Partnership,White,Female Owned,Non-Veteran,,2,4/7/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $37,395 ", undisclosed , undisclosed ,SHELBY,MT,59474,454310,Corporation,White,Male Owned,Non-Veteran,,5,4/7/20,The First State Bank of Shelby,MT - 00
"h $25,000-$50,000"," $34,722 ", undisclosed , undisclosed ,SHELBY,MT,59474,722511,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,7,6/18/20,The First State Bank of Shelby,MT - 00
"h $25,000-$50,000"," $34,635 ", undisclosed , undisclosed ,SHELBY,MT,59474,722511,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,40,4/11/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $33,270 ", undisclosed , undisclosed ,SHELBY,MT,59474,441320,Corporation,White,Male Owned,Unanswered,,6,4/13/20,The First State Bank of Shelby,MT - 00
"h $25,000-$50,000"," $32,147 ", undisclosed , undisclosed ,SHELBY,MT,59474,621111,Corporation,White,Male Owned,Unanswered,,10,4/27/20,The First State Bank of Shelby,MT - 00
"h $25,000-$50,000"," $29,312 ", undisclosed , undisclosed ,SHELBY,MT,59474,621320,Sole Proprietorship,White,Male Owned,Unanswered,,3,4/10/20,The First State Bank of Shelby,MT - 00
"h $25,000-$50,000"," $28,922 ", undisclosed , undisclosed ,SHELBY,MT,59474,213111,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,3,4/6/20,The First State Bank of Shelby,MT - 00
"h $25,000-$50,000"," $26,700 ", undisclosed , undisclosed ,SHELBY,MT,59474,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,4/9/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $48,300 ", undisclosed , undisclosed ,SHEPHERD,MT,59079,624410,Subchapter S Corporation,White,Female Owned,Non-Veteran,,11,4/13/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $41,000 ", undisclosed , undisclosed ,SHEPHERD,MT,59079,332311,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,4/28/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $31,890 ", undisclosed , undisclosed ,SHEPHERD,MT,59079,238910,Corporation,White,Male Owned,Unanswered,,4,4/15/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $31,312 ", undisclosed , undisclosed ,SHEPHERD,MT,59079,111998,Corporation,Unanswered,Unanswered,Unanswered,,7,4/15/20,First Interstate Bank,MT - 00
"h $25,000-$50,000"," $31,000 ", undisclosed , undisclosed ,SHEPHERD,MT,59079,238170,Corporation,Unanswered,Unanswered,Unanswered,,5,4/15/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $29,300 ", undisclosed , undisclosed ,SHEPHERD,MT,59079,722511,Corporation,Unanswered,Unanswered,Unanswered,,12,4/27/20,Glacier Bank,MT - 00
"h $25,000-$50,000"," $25,000 ", undisclosed , undisclosed ,SHEPHERD,MT,59079,112111,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,5,4/9/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $47,700 ", undisclosed , undisclosed ,SHERIDAN,MT,59749,238220,Corporation,White,Female Owned,Non-Veteran,,5,4/6/20,Opportunity Bank of Montana,MT - 00
"h $25,000-$50,000"," $42,500 ", undisclosed , undisclosed ,SHERIDAN,MT,59749,238210,Corporation,White,Female Owned,Non-Veteran,,5,4/4/20,Opportunity Bank of Montana,MT - 00
"h $25,000-$50,000"," $40,200 ", undisclosed , undisclosed ,SHERIDAN,MT,59749,623312,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,12,4/28/20,Opportunity Bank of Montana,MT - 00
"h $25,000-$50,000"," $38,300 ", undisclosed , undisclosed ,SHERIDAN,MT,59749,621999,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,4,4/28/20,Opportunity Bank of Montana,MT - 00
"h $25,000-$50,000"," $34,700 ", undisclosed , undisclosed ,SHERIDAN,MT,59749,112111,Subchapter S Corporation,White,Male Owned,Non-Veteran,,4,6/9/20,Opportunity Bank of Montana,MT - 00
"h $25,000-$50,000"," $30,000 ", undisclosed , undisclosed ,SHERIDAN,MT,59749,238210,Subchapter S Corporation,White,Female Owned,Unanswered,,5,4/13/20,Opportunity Bank of Montana,MT - 00
"h $25,000-$50,000"," $28,100 ", undisclosed , undisclosed ,SHERIDAN,MT,59749,112111,Sole Proprietorship,Unanswered,Male Owned,Unanswered,,13,4/28/20,Opportunity Bank of Montana,MT - 00
"h $25,000-$50,000"," $25,700 ", undisclosed , undisclosed ,SHERIDAN,MT,59749,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,24,4/28/20,Opportunity Bank of Montana,MT - 00
"h $25,000-$50,000"," $25,500 ", undisclosed , undisclosed ,SHERIDAN,MT,59749,112111,Corporation,White,Male Owned,Unanswered,,3,4/9/20,Opportunity Bank of Montana,MT - 00
"h $25,000-$50,000"," $49,785 ", undisclosed , undisclosed ,SIDNEY,MT,59270,624410,Non-Profit Childcare Center,Unanswered,Female Owned,Non-Veteran,Y,22,4/14/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $49,500 ", undisclosed , undisclosed ,SIDNEY,MT,59270,339116,Corporation,White,Male Owned,Non-Veteran,,5,4/3/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $48,800 ", undisclosed , undisclosed ,SIDNEY,MT,59270,531210,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,4,4/3/20,The Yellowstone Bank,MT - 00
"h $25,000-$50,000"," $47,800 ", undisclosed , undisclosed ,SIDNEY,MT,59270,811192,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,3,4/3/20,Stockman Bank of Montana,MT - 00
"h $25,000-$50,000"," $47,600 ", undisclosed , undisclosed ,SIDNEY,MT,59270,238190,Corporation,White,Male Owned,Non-Veteran,,9,4/3/20,Stockman Bank of Montana,MT - 00
